name,text,image,pub_date,author_id,cooking_time
ПАСТА КАРБОНАРА,"Карбонара (Carbonara) в переводе с итальянского означала бы угольную печь. Считается, что это блюдо из макарон родилось как очень сытное блюдо для шахтеров в центральном регионе Италии, но это точно не известно. В любом случае, это фантастический рецепт, который можно приготовить всего за 20 минут, а результат всегда удивителен.",upload/pasta-carbonara-medium.webp,2022-08-19 16:22:02.567199,1,20
ГРЕЧЕСКИЙ САЛАТ С ПЕКИНСКОЙ КАПУСТОЙ,"Одни из самых любимых салатов в нашей семье - греческий салат. Он не только очень вкусный и красивый, но и полезный, ведь в его состав входят свежие овощи, богатые витаминами. Мой секрет в заправке, с которой любой овощной салатик будет вкусным.",upload/grecheskiy-salat-s-pekinskoy-kapustoy-medium1.webp,2022-08-19 16:50:59.359782,2,15
ПОМИДОРЫ МАРИНОВАННЫЕ В СОБСТВЕННОМ СОКУ,"Я не очень люблю подогрев (стерилизацию), поэтому с каждым годом экспериментирую, консервирую все больше и больше разных способов и стараюсь найти максимально простые способы заготовки овощей на зиму. Один из удачных – маринованные помидоры в собственном соку на зиму без подогрева. Неизбежно только шелушение шкурки, в остальном производственный процесс вас порадует. Использую для супов, гарниров, пасты и соусов к мясу, иногда просто едим прямо из банки.",upload/pomidorai-savo-sultyse-be-sterilizavimo-receptas-medium1.webp,2022-08-19 16:52:21.362975,2,25
СУП-ПЮРЕ ИЗ ЗЕЛЕНОГО ЛУКА И ГОРОХА С ИМБИРЕМ И ЧИПСАМИ ИЗ ПАРМЕЗАНА,"Вдохновившись этим сочетанием зеленого лука + имбирь, я приготовила фантастический суп для настоящих любителей острого. Я рекомендую не смеяться и потратить несколько минут на сырные чипсы, упомянутые в моем рецепте. Это фантастическая приправа, которая придает новых цвет этому блюду, тем более всего за несколько минут. Так что ничего не ждем и будем варить этот чудесный суп-пюре!",upload/trinta-svogunu-laisku-ir-zirneliu-sriuba-su-imbieru-bei-parmezano-traskuciais-medium1.webp,2022-08-19 16:53:48.013486,2,30
"СЛИВОЧНЫЙ СУП С ЛОСОСЕМ И СЛИВОЧНЫМ СЫРОМ, КАРТОФЕЛЕМ И МОРКОВЬЮ","Сливочный суп с лососем, наверное, один из самых вкусных супов лично для меня. Недавно я загрузила рецепт финского супа из лосося. Она получила большой интерес и много вашей похвалы! В этот раз я решила сделать что-то похожее, но в то же время другое. Этот суп с лососем более сливочный, потому что часть супа я измельчила (без лосося, конечно) и использовала для его приготовления сливочный сыр.",upload/kremine-lasisos-sriuba-medium1.webp,2022-08-19 16:57:07.075813,2,30
ГОРОХОВЫЙ СУП С БЕКОНОМ,"Лично для меня это такой осенний суп (или другими словами суп-непогода), очень наваристый, ароматный, очень вкусный и конечно же густой, потому что мы с семьей любим такой - гороховый суп с беконом (можно еще использовать копченое мясо и назвать этот суп - гороховый суп с копченостями). Этот суп едят абсолютно все в семье, а муж тоже просит вторую тарелку. :)",upload/zirniu-sriuba-medium1.webp,2022-08-19 16:57:43.896079,2,45
ЖАРЕНАЯ ГОВЯЖЬЯ ПЕЧЕНЬ С ЯБЛОКАМИ И ЛУКОМ,"Многие люди боятся есть говяжью печень, потому что говорят, что она невкусная. Но это всего лишь предрассудок. Главное, научиться их правильно готовить, и тогда они будут просто великолепны на вкус. На этот раз мой вариант жареной говяжьей печени с яблоками и луком. Обязательно попробуйте, я абсолютно уверена, что оно вам очень понравится и вы захотите чаще так обедать или ужинать! ;)",upload/keptos-jautienos-kepeneles-medium1.webp,2022-08-19 16:58:18.852432,1,30
"ФАРШИРОВАННАЯ КУРИНАЯ ГРУДКА В ДУХОВКЕ, С ОВОЩАМИ И СЫРОМ МОЦАРЕЛЛА","Сегодня я поделюсь своим особенным рецептом, как я запекаю куриную грудку в духовке с овощами и сыром моцарелла в духовке. Этот способ приготовления очень популярен в моей семье. Даже не знаю, какие хвалебные слова написать, ведь это блюдо заслуживает только самых лучших слов. И не только от меня, но и от всех, кто уже успел его попробовать. Не буду много говорить, просто советую приготовить это сегодня. Гарантированно, вы будете делать это блюдо не раз в будущем.",upload/idaryta-orkaiteje-kepta-vistienos-krutinele-su-darzovemis-ir-mocarela-suriu-medium1.webp,2022-08-19 16:58:46.527739,1,15
"ШАШЛЫК ИЗ БАРАНИНЫ НА МИНЕРАЛКЕ, ЛИМОНАМИ И ПОМИДОРАМИ","Шашлык из баранины, возможно, не самый популярный в нашей стране, но в этот раз я хочу показать, что это мясо тоже можно очень вкусно пожарить на углях. Это не обычный способ приготовления, потому что он будет приготовлен на минералке, а также мы будем использовать ржаной хлеб.",upload/avienos-saslykas-medium1.webp,2022-08-19 16:59:19.825685,1,15
НЕМЕЦКИЙ ПИРОГ С ЯБЛОКАМИ И РЕВЕНЕМ,"Я сама начала выращивать ревень всего несколько лет назад, но всегда с нетерпением жду начала сбора урожая. Уже фирменным является мое варенье из клубники и ревеня, которое особенно любимо моей семьей. И каждый год я все думаю о том, что нового я могу сделать из ревеня. В этот раз на моей кухне пахло немецким пирогом из ревеня и яблок, который нам очень понравился. Я рада, что нашла этот рецепт. Он в списке фаворитов, и я уверена, что буду делать этот пирог и в будущем.",upload/vokiskas-trupininis-rabarbaru-pyragas-medium1.webp,2022-08-19 17:00:11.380636,3,20
